Designator,Package,Mid X,Mid Y,Layer,Rotation,Comment
LED365,SK6805-1515,90.796,125.057,Front,169.3,SK6805-1515 LED
LED366,SK6805-1515,90.242,127.285,Front,162.7,SK6805-1515 LED
LED367,SK6805-1515,89.433,129.435,Front,156,SK6805-1515 LED
LED368,SK6805-1515,88.401,131.44,Front,149.5,SK6805-1515 LED
LED369,SK6805-1515,87.124,133.351,Front,142.9,SK6805-1515 LED
LED370,SK6805-1515,85.635,135.103,Front,136.3,SK6805-1515 LED
LED371,SK6805-1515,83.956,136.673,Front,129.7,SK6805-1515 LED
LED372,SK6805-1515,82.108,138.041,Front,123.2,SK6805-1515 LED
LED373,SK6805-1515,80.116,139.187,Front,116.6,SK6805-1515 LED
LED374,SK6805-1515,78.005,140.096,Front,109.9,SK6805-1515 LED
LED375,SK6805-1515,75.802,140.755,Front,103.3,SK6805-1515 LED
